State,Date,OffAge,OffAge,OffAge,OffAge
,,count,mean,min,max
Alabama,1976-01-01,38,36.39473684210526,14.0,79.0
Alabama,1976-02-01,31,33.0,16.0,68.0
Alabama,1976-03-01,37,34.4054054054054,13.0,71.0
Alabama,1976-04-01,24,37.541666666666664,16.0,63.0
Alabama,1976-05-01,52,34.36538461538461,11.0,69.0
Alabama,1976-06-01,25,35.44,16.0,63.0
Alabama,1976-07-01,44,30.863636363636363,16.0,73.0
Alabama,1976-08-01,31,40.354838709677416,20.0,82.0
Alabama,1976-09-01,27,32.666666666666664,17.0,72.0
Alabama,1976-10-01,39,35.58974358974359,16.0,84.0
Alabama,1976-11-01,36,31.47222222222222,17.0,74.0
Alabama,1976-12-01,47,35.59574468085106,13.0,75.0
Alabama,1977-01-01,46,36.391304347826086,13.0,82.0
Alabama,1977-02-01,43,33.13953488372093,16.0,73.0
Alabama,1977-03-01,38,34.23684210526316,17.0,59.0
Alabama,1977-04-01,44,35.18181818181818,14.0,71.0
Alabama,1977-05-01,29,30.689655172413794,14.0,66.0
Alabama,1977-06-01,42,36.45238095238095,18.0,81.0
Alabama,1977-07-01,36,34.27777777777778,13.0,77.0
Alabama,1977-08-01,20,33.95,14.0,62.0
Alabama,1977-09-01,45,35.86666666666667,18.0,70.0
Alabama,1977-10-01,42,34.42857142857143,13.0,85.0
Alabama,1977-11-01,29,35.03448275862069,19.0,63.0
Alabama,1977-12-01,23,31.391304347826086,16.0,62.0
Alabama,1978-01-01,46,33.93478260869565,17.0,65.0
Alabama,1978-02-01,33,33.333333333333336,17.0,68.0
Alabama,1978-03-01,31,35.806451612903224,16.0,73.0
Alabama,1978-04-01,47,34.53191489361702,13.0,74.0
Alabama,1978-05-01,37,37.21621621621622,15.0,73.0
Alabama,1978-06-01,41,32.073170731707314,14.0,77.0
Alabama,1978-07-01,37,33.432432432432435,16.0,63.0
Alabama,1978-08-01,32,41.125,20.0,73.0
Alabama,1978-09-01,44,38.09090909090909,14.0,63.0
Alabama,1978-10-01,33,35.81818181818182,17.0,68.0
Alabama,1978-11-01,39,30.564102564102566,16.0,71.0
Alabama,1978-12-01,40,35.65,15.0,69.0
Alabama,1979-01-01,47,33.212765957446805,16.0,69.0
Alabama,1979-02-01,31,34.774193548387096,14.0,71.0
Alabama,1979-03-01,28,33.464285714285715,16.0,79.0
Alabama,1979-04-01,27,33.03703703703704,16.0,70.0
Alabama,1979-05-01,42,39.73809523809524,19.0,85.0
Alabama,1979-06-01,26,31.192307692307693,16.0,48.0
Alabama,1979-07-01,44,34.04545454545455,15.0,79.0
Alabama,1979-08-01,33,32.36363636363637,13.0,75.0
Alabama,1979-09-01,47,32.08510638297872,15.0,63.0
Alabama,1979-10-01,25,34.88,17.0,73.0
