State,Homicide,Incident
Alabama,Manslaughter by negligence,64
Alabama,Murder or Non-negligent manslaughter,17111
Alaska,Manslaughter by negligence,170
Alaska,Murder or Non-negligent manslaughter,2094
Arizona,Manslaughter by negligence,544
Arizona,Murder or Non-negligent manslaughter,16321
Arkansas,Manslaughter by negligence,219
Arkansas,Murder or Non-negligent manslaughter,9320
California,Manslaughter by negligence,995
California,Murder or Non-negligent manslaughter,124261
Colorado,Manslaughter by negligence,390
Colorado,Murder or Non-negligent manslaughter,8889
Connecticut,Manslaughter by negligence,171
Connecticut,Murder or Non-negligent manslaughter,6018
Delaware,Manslaughter by negligence,32
Delaware,Murder or Non-negligent manslaughter,1751
District of Columbia,Manslaughter by negligence,19
District of Columbia,Murder or Non-negligent manslaughter,9131
Florida,Manslaughter by negligence,1826
Florida,Murder or Non-negligent manslaughter,47663
Georgia,Manslaughter by negligence,329
Georgia,Murder or Non-negligent manslaughter,27586
Hawaii,Manslaughter by negligence,16
Hawaii,Murder or Non-negligent manslaughter,1808
Idaho,Manslaughter by negligence,65
Idaho,Murder or Non-negligent manslaughter,1585
Illinois,Manslaughter by negligence,533
Illinois,Murder or Non-negligent manslaughter,36848
Indiana,Manslaughter by negligence,320
Indiana,Murder or Non-negligent manslaughter,15375
Iowa,Manslaughter by negligence,46
Iowa,Murder or Non-negligent manslaughter,2546
Kansas,Manslaughter by negligence,75
Kansas,Murder or Non-negligent manslaughter,4300
Kentucky,Manslaughter by negligence,224
Kentucky,Murder or Non-negligent manslaughter,9875
Louisiana,Manslaughter by negligence,508
Louisiana,Murder or Non-negligent manslaughter,26043
Maine,Manslaughter by negligence,57
Maine,Murder or Non-negligent manslaughter,1134
Maryland,Manslaughter by negligence,137
Maryland,Murder or Non-negligent manslaughter,22313
Massachusetts,Manslaughter by negligence,77
Massachusetts,Murder or Non-negligent manslaughter,7780
Michigan,Manslaughter by negligence,367
Michigan,Murder or Non-negligent manslaughter,36675
Minnesota,Manslaughter by negligence,284
Minnesota,Murder or Non-negligent manslaughter,5265
Mississippi,Manslaughter by negligence,200
Mississippi,Murder or Non-negligent manslaughter,8425
Missouri,Manslaughter by negligence,475
Missouri,Murder or Non-negligent manslaughter,20506
Montana,Manslaughter by negligence,54
Montana,Murder or Non-negligent manslaughter,976
Nebraska,Manslaughter by negligence,81
Nebraska,Murder or Non-negligent manslaughter,1810
Nevada,Manslaughter by negligence,137
Nevada,Murder or Non-negligent manslaughter,7424
New Hampshire,Manslaughter by negligence,60
New Hampshire,Murder or Non-negligent manslaughter,839
New Jersey,Manslaughter by negligence,141
New Jersey,Murder or Non-negligent manslaughter,17887
New Mexico,Manslaughter by negligence,168
New Mexico,Murder or Non-negligent manslaughter,5596
New York,Manslaughter by negligence,111
New York,Murder or Non-negligent manslaughter,61124
North Carolina,Manslaughter by negligence,703
North Carolina,Murder or Non-negligent manslaughter,26792
North Dakota,Manslaughter by negligence,46
North Dakota,Murder or Non-negligent manslaughter,476
Ohio,Manslaughter by negligence,396
Ohio,Murder or Non-negligent manslaughter,26413
Oklahoma,Manslaughter by negligence,438
Oklahoma,Murder or Non-negligent manslaughter,11454
Oregan,Manslaughter by negligence,402
Oregan,Murder or Non-negligent manslaughter,5268
Pennsylvania,Manslaughter by negligence,604
Pennsylvania,Murder or Non-negligent manslaughter,31135
Rhode Island,Manslaughter by negligence,24
Rhode Island,Murder or Non-negligent manslaughter,1509
South Carolina,Manslaughter by negligence,286
South Carolina,Murder or Non-negligent manslaughter,16197
South Dakota,Manslaughter by negligence,74
South Dakota,Murder or Non-negligent manslaughter,657
Tennessee,Manslaughter by negligence,283
Tennessee,Murder or Non-negligent manslaughter,20412
Texas,Manslaughter by negligence,1782
Texas,Murder or Non-negligent manslaughter,79949
Utah,Manslaughter by negligence,104
Utah,Murder or Non-negligent manslaughter,2693
Vermont,Manslaughter by negligence,36
Vermont,Murder or Non-negligent manslaughter,515
Virginia,Manslaughter by negligence,388
Virginia,Murder or Non-negligent manslaughter,20646
Washington,Manslaughter by negligence,303
Washington,Murder or Non-negligent manslaughter,10029
West Virginia,Manslaughter by negligence,144
West Virginia,Murder or Non-negligent manslaughter,4031
Wisconsin,Manslaughter by negligence,477
Wisconsin,Murder or Non-negligent manslaughter,8395
Wyoming,Manslaughter by negligence,72
Wyoming,Murder or Non-negligent manslaughter,805
