State,Year,OffAge,OffAge,OffAge,OffAge
,,count,mean,min,max
Alabama,1976,431,34.65893271461717,11.0,84.0
Alabama,1977,437,34.50800915331808,13.0,85.0
Alabama,1978,460,35.03260869565217,13.0,77.0
Alabama,1979,450,33.87777777777778,13.0,85.0
Alabama,1980,461,33.939262472885034,13.0,90.0
Alabama,1981,397,35.241813602015114,11.0,86.0
Alabama,1982,386,34.73056994818653,9.0,90.0
Alabama,1983,329,33.01215805471124,11.0,82.0
Alabama,1984,339,34.87315634218289,13.0,83.0
Alabama,1985,346,33.6878612716763,12.0,84.0
Alabama,1986,370,34.1,13.0,83.0
Alabama,1987,296,33.96283783783784,10.0,73.0
Alabama,1988,348,32.775862068965516,14.0,83.0
Alabama,1989,354,31.271186440677965,10.0,87.0
Alabama,1990,410,31.7390243902439,14.0,91.0
Alabama,1991,222,30.815315315315317,13.0,84.0
Alabama,1992,219,32.10958904109589,10.0,82.0
Alabama,1993,289,31.972318339100347,14.0,93.0
Alabama,1994,293,30.09556313993174,15.0,92.0
Alabama,1995,252,30.373015873015873,12.0,79.0
Alabama,1996,244,30.10655737704918,12.0,78.0
Alabama,1997,244,30.983606557377048,15.0,75.0
Alabama,1998,202,31.985148514851485,10.0,78.0
Alabama,1999,10,41.5,22.0,79.0
Alabama,2000,165,32.03030303030303,13.0,78.0
Alabama,2001,210,30.733333333333334,13.0,79.0
Alabama,2002,188,31.664893617021278,15.0,86.0
Alabama,2003,166,31.987951807228917,12.0,79.0
Alabama,2004,172,32.43604651162791,15.0,79.0
Alabama,2005,224,31.397321428571427,15.0,80.0
Alabama,2006,246,30.158536585365855,13.0,76.0
Alabama,2007,267,30.662921348314608,14.0,66.0
Alabama,2008,245,30.693877551020407,14.0,76.0
Alabama,2009,219,31.625570776255707,16.0,87.0
Alabama,2010,136,35.72794117647059,14.0,84.0
Alabama,2011,154,32.616883116883116,11.0,76.0
Alabama,2012,146,32.23287671232877,14.0,89.0
Alabama,2013,203,32.881773399014776,14.0,82.0
Alabama,2014,175,32.90857142857143,14.0,91.0
Alabama,2015,206,32.02427184466019,10.0,82.0
Alabama,2016,265,30.41509433962264,10.0,99.0
Alabama,2017,311,30.19614147909968,1.0,99.0
Alabama,2018,270,29.585185185185185,1.0,73.0
Alabama,2019,3,26.666666666666668,20.0,36.0
Alabama,2020,19,33.31578947368421,15.0,51.0
Alabama,2021,253,30.031620553359684,1.0,99.0
Alaska,1976,37,32.810810810810814,7.0,68.0
Alaska,1977,32,30.6875,14.0,59.0
Alaska,1978,44,28.15909090909091,13.0,58.0
Alaska,1979,35,33.25714285714286,16.0,66.0
Alaska,1980,37,32.75675675675676,7.0,61.0
Alaska,1981,62,28.967741935483872,11.0,57.0
Alaska,1982,47,28.148936170212767,14.0,61.0
Alaska,1983,63,30.793650793650794,9.0,57.0
Alaska,1984,45,26.91111111111111,13.0,47.0
Alaska,1985,35,31.742857142857144,14.0,68.0
Alaska,1986,38,29.263157894736842,11.0,63.0
Alaska,1987,38,32.10526315789474,17.0,59.0
Alaska,1988,28,31.642857142857142,14.0,71.0
Alaska,1989,36,28.805555555555557,16.0,48.0
Alaska,1990,35,27.142857142857142,12.0,56.0
Alaska,1991,38,28.42105263157895,10.0,61.0
Alaska,1992,33,29.303030303030305,13.0,48.0
Alaska,1993,45,30.555555555555557,14.0,62.0
Alaska,1994,36,30.555555555555557,14.0,78.0
Alaska,1995,34,30.41176470588235,15.0,59.0
Alaska,1996,25,28.24,15.0,58.0
Alaska,1997,51,34.666666666666664,2.0,84.0
Alaska,1998,30,29.333333333333332,11.0,56.0
