State,Year,VicAge_Count,VicAge_Mean,VicAge_Min,VicAge_Max,Incidents,N/A Age
Alabama,1976,484,37.02479338842975,0.0,80.0,504,20
Alabama,1977,498,36.708835341365464,0.0,92.0,504,6
Alabama,1978,491,35.79633401221996,2.0,90.0,493,2
Alabama,1979,484,37.349173553719005,0.0,90.0,487,3
Alabama,1980,512,37.205078125,0.0,90.0,513,1
Alabama,1981,452,36.18805309734513,0.0,92.0,453,1
Alabama,1982,422,36.343601895734594,0.0,93.0,424,2
Alabama,1983,369,36.8970189701897,0.0,86.0,372,3
Alabama,1984,379,36.78364116094987,0.0,83.0,382,3
Alabama,1985,395,36.870886075949365,0.0,90.0,397,2
Alabama,1986,407,35.59213759213759,0.0,94.0,407,0
Alabama,1987,336,35.06845238095238,0.0,88.0,336,0
Alabama,1988,389,36.34961439588689,0.0,91.0,389,0
Alabama,1989,415,35.860240963855425,0.0,92.0,416,1
Alabama,1990,461,35.32754880694143,0.0,94.0,463,2
Alabama,1991,406,33.532019704433495,1.0,90.0,434,28
Alabama,1992,377,35.856763925729446,1.0,91.0,391,14
Alabama,1993,450,33.25555555555555,1.0,92.0,477,27
Alabama,1994,467,33.389721627408996,1.0,92.0,501,34
Alabama,1995,446,35.23094170403587,1.0,99.0,467,21
Alabama,1996,398,33.65577889447236,0.0,98.0,430,32
Alabama,1997,368,35.08152173913044,1.0,96.0,415,47
Alabama,1998,289,34.95501730103806,2.0,87.0,343,54
Alabama,1999,14,34.42857142857143,1.0,78.0,15,1
Alabama,2000,218,37.174311926605505,1.0,87.0,235,17
Alabama,2001,312,34.705128205128204,0.0,88.0,347,35
Alabama,2002,271,36.68265682656826,1.0,93.0,292,21
Alabama,2003,274,34.7043795620438,1.0,81.0,295,21
Alabama,2004,235,35.46382978723404,1.0,84.0,253,18
Alabama,2005,317,34.59305993690852,0.0,88.0,327,10
Alabama,2006,344,35.372093023255815,1.0,91.0,358,14
Alabama,2007,375,33.632,0.0,86.0,392,17
Alabama,2008,326,33.65950920245399,1.0,85.0,342,16
Alabama,2009,307,34.57328990228013,1.0,89.0,318,11
Alabama,2010,175,36.2,1.0,90.0,191,16
Alabama,2011,324,34.385802469135804,0.0,91.0,339,15
Alabama,2012,304,35.85526315789474,3.0,88.0,333,29
Alabama,2013,318,36.257861635220124,2.0,90.0,367,49
Alabama,2014,287,36.45993031358885,1.0,91.0,349,62
Alabama,2015,411,35.051094890510946,1.0,86.0,445,34
Alabama,2016,445,33.853932584269664,1.0,91.0,493,48
Alabama,2017,539,35.62152133580705,1.0,99.0,575,36
Alabama,2018,471,34.76220806794055,1.0,91.0,502,31
Alabama,2019,4,44.25,20.0,73.0,4,0
Alabama,2020,24,44.916666666666664,8.0,91.0,24,0
Alabama,2021,338,33.94378698224852,0.0,99.0,381,43
Alaska,1976,47,29.893617021276597,0.0,79.0,47,0
Alaska,1977,47,28.4468085106383,0.0,69.0,47,0
Alaska,1978,50,30.06,0.0,62.0,50,0
Alaska,1979,51,31.96078431372549,1.0,67.0,51,0
Alaska,1980,46,29.782608695652176,8.0,60.0,47,1
Alaska,1981,69,29.942028985507246,0.0,71.0,69,0
Alaska,1982,75,28.8,0.0,85.0,75,0
Alaska,1983,74,32.2027027027027,0.0,72.0,74,0
Alaska,1984,51,33.372549019607845,2.0,73.0,52,1
Alaska,1985,50,39.54,7.0,76.0,50,0
Alaska,1986,47,30.680851063829788,2.0,79.0,47,0
Alaska,1987,47,31.74468085106383,2.0,81.0,48,1
Alaska,1988,30,33.1,0.0,73.0,30,0
Alaska,1989,40,33.275,1.0,74.0,41,1
